symbol,ltp,changepct,contribution
BHARTIARTL,1939.5,1.84,21.08
LT,3667.8,2.28,20.49
KOTAKBANK,2021.7,2.58,19.21
M&M,3608.0,2.2,13.1
AXISBANK,1121.2,1.52,11.82
RELIANCE,1405.3,0.43,9.39
TCS,3145.7,1.09,8.8
MARUTI,15573.0,2.02,7.44
SBIN,831.55,0.82,5.69
ETERNAL,327.3,1.24,4.6
NTPC,335.05,1.19,4.6
TATASTEEL,172.02,1.65,4.37
HCLTECH,1483.1,1.13,4.31
ULTRACEMCO,12578.0,1.15,3.57
GRASIM,2843.0,1.45,3.48
ICICIBANK,1421.6,0.15,3.46
EICHERMOT,6927.5,1.86,3.29
JSWSTEEL,1115.2,1.3,2.92
BEL,402.9,1.12,2.88
ONGC,235.09,1.22,2.65
SUNPHARMA,1610.5,0.53,2.39
INFY,1511.3,0.19,2.35
POWERGRID,288.35,0.73,2.34
TITAN,3556.8,0.64,2.05
ADANIPORTS,1408.2,0.93,1.92
WIPRO,254.01,1.09,1.71
TECHM,1531.5,0.77,1.69
CIPLA,1559.0,0.69,1.38
DRREDDY,1310.4,0.74,1.23
BAJAJ-AUTO,9072.5,0.53,1.08
ITC,413.1,0.11,1.0
ADANIENT,2399.4,0.67,0.91
APOLLOHOSP,7852.5,0.46,0.74
TRENT,5147.5,0.28,0.73
HINDALCO,755.95,0.31,0.64
HEROMOTOCO,5316.0,0.52,0.59
COALINDIA,395.8,0.27,0.55
INDUSINDBK,742.25,0.32,0.4
TATAMOTORS,713.25,0.05,0.15
JIOFIN,315.45,0.03,0.06
BAJAJFINSV,2080.3,0.01,0.02
HINDUNILVR,2580.9,-0.0,-0.0
